ID,Yield_m3_day,Drawdown_m,Spec_Cap_m2_day,Lithology
10,5.45,89.00,0.06,C1
11,16.35,87.17,0.19,C1
12,10.90,42.67,0.26,C2
13,218.04,114.00,1.91,C1
19,21.80,101.80,0.21,C2
21,370.67,77.72,4.77,C1
30,27.26,2.74,9.93,C2
76,10.90,5.49,1.99,C1
77,16.35,27.43,0.60,C2
79,43.61,15.24,2.86,C1
80,136.28,28.04,4.86,C2
86,109.02,22.86,4.77,C1
81,1820.63,105.16,17.31,C1
82,327.06,18.29,17.88,C2
83,272.55,12.80,21.29,C1
84,817.65,24.38,33.53,C2
85,872.16,21.34,40.88,C1
87,654.12,39.62,16.51,C2
88,1362.75,54.86,24.84,C1
