ID,Yield_m3_day,Drawdown_m,Spec_Cap_m2_day,Lithology
15,65.41,52.12,1.26,Mixed
16,87.22,43.28,2.02,Mixed
17,43.61,44.20,0.99,Mixed
20,43.61,15.54,2.81,Mixed
26,926.67,18.59,49.84,Mixed
28,3543.15,76.20,46.50,Mixed
32,1362.75,42.67,31.94,Mixed
33,1635.30,32.00,51.10,Mixed
38,654.12,9.14,71.53,Mixed
39,2834.52,29.87,94.90,Mixed
40,1362.75,21.34,63.87,Mixed
41,1635.30,44.50,36.75,Mixed
46,4246.33,42.37,100.23,Mixed
47,408.83,12.19,33.53,Mixed
49,13622.05,53.34,255.39,Mixed
52,13894.60,54.25,256.10,Mixed
15,65.41,52.12,1.25,Mixed
16,87.22,43.28,2.02,Mixed
17,43.61,44.20,0.99,Mixed
20,43.61,15.54,2.81,Mixed
26,926.67,18.59,49.85,Mixed
28,3543.15,76.20,46.50,Mixed
