ID,Yield_m3_day,Drawdown_m,Spec_Cap_m2_day,Lithology
1,354.32,27.43,12.92,OR
2,1798.83,26.52,67.84,OR
7,1635.30,28.35,57.69,OR
18,1591.69,46.02,34.58,OR
22,6426.73,48.16,133.45,OR
23,4088.25,62.79,65.11,OR
42,10896.55,77.72,140.19,OR
102,1635.30,42.67,38.32,OR
106,2180.40,54.86,39.74,OR
110,1090.20,27.43,39.74,OR
114,817.65,19.81,41.27,OR
118,545.10,14.63,37.26,OR
122,272.55,8.23,33.12,OR
128,1362.75,32.00,42.59,OR
132,1907.85,45.72,41.73,OR
138,1090.20,25.91,42.08,OR
142,436.08,12.19,35.77,OR
148,2725.50,60.96,44.71,OR
152,1362.75,35.05,38.88,OR
158,817.65,21.34,38.32,OR
162,545.10,15.24,35.77,OR
168,272.55,7.01,38.88,OR
382,16353.00,68.58,238.45,OR
386,8176.50,27.43,298.09,OR
391,4088.25,10.67,383.15,OR
396,2180.40,5.49,397.16,OR
401,1090.20,2.74,397.88,OR
406,545.10,1.22,446.80,OR
411,1635.30,13.72,119.19,OR
416,2180.40,16.76,130.10,OR
421,1090.20,6.71,162.47,OR
426,545.10,3.05,178.72,OR
431,272.55,1.52,179.31,OR
436,817.65,4.27,191.49,OR
441,1090.20,5.18,210.46,OR
446,1362.75,5.79,235.36,OR
