ID,Yield_m3_day,Drawdown_m,Spec_Cap_m2_day,Lithology
27,545.10,48.46,11.25,UF
29,163.53,60.96,2.68,UF
139,81.77,3.66,22.35,UF
10,27.26,89.00,0.31,C1
11,16.35,87.17,0.19,C1
13,218.04,114.00,1.91,C1
21,370.67,77.72,4.77,C1
76,10.90,5.49,1.99,C1
79,43.61,15.24,2.86,C1
86,109.02,22.86,4.77,C1
545,43.61,15.24,2.86,C1
555,109.02,22.86,4.77,C1
12,10.90,42.67,0.26,C2
19,21.80,101.80,0.21,C2
30,27.26,2.74,9.95,C2
77,16.35,27.43,0.60,C2
80,136.28,28.04,4.86,C2
540,16.35,27.43,0.60,C2
550,136.28,28.04,4.86,C2
27,545.10,48.46,11.25,UF
29,163.53,60.96,2.68,UF
139,81.77,3.66,22.35,UF
600,81.77,3.66,22.35,UF
