ID,Yield_m3_day,Drawdown_m,Spec_Cap_m2_day,Lithology
103,436.08,30.48,14.31,TS
107,545.10,42.67,12.77,TS
112,272.55,18.29,14.90,TS
117,163.53,15.24,10.73,TS
121,109.02,9.14,11.93,TS
126,81.77,7.62,10.73,TS
131,54.51,4.57,11.93,TS
143,381.57,27.43,13.91,TS
383,327.06,16.76,19.51,TS
387,218.04,10.67,20.43,TS
392,109.02,5.18,21.05,TS
397,163.53,7.62,21.46,TS
402,54.51,2.44,22.34,TS
407,381.57,15.24,25.04,TS
412,272.55,10.67,25.54,TS
417,163.53,6.10,26.81,TS
422,109.02,3.96,27.53,TS
427,81.77,2.74,29.84,TS
503,436.08,30.48,14.31,TS
507,545.10,42.67,12.77,TS
512,272.55,18.29,14.90,TS
517,163.53,15.24,10.73,TS
522,109.02,9.14,11.93,TS
527,81.77,7.62,10.73,TS
532,54.51,4.57,11.93,TS
603,381.57,27.43,13.91,TS
